线路号: 1101
9132	1599
9130	41
9173	1594
9153	1809
9147	1996
9154	192
9190	2292
9131	1873
9175	184
9195	1995
9163	182
9150	1316
9156	131
9145	171
9171	1122
9177	149
9176	146
9161	1866
9205	2362
9172	208
9169	206
9140	143
9192	27
9198	1601
9144	167
9129	1317
9204	19
9185	1622
9182	1999
9152	108
9146	1997
9207	1885
9151	1661
9160	2240
9148	1659
9158	185
9193	2374
9143	1130
9180	2287
9149	1127
9184	102
9136	1609
9191	2532
9181	100
9155	168
9179	2149
9200	2534
9138	1593
9137	2293
9141	147
9168	202
9142	2150
9194	2295
9206	2359
9166	199
9174	1827
9127	1319
9167	1136
9188	127
9196	1608
9128	1600
