线路号: 1114
10131	894
10098	945
10103	1021
10134	1588
10102	1000
10059	1910
10054	1584
10092	1891
10055	1579
10119	2087
10087	904
10121	930
10100	1911
10124	1418
10117	964
10129	1668
10123	1346
10125	1919
10084	2266
10062	1645
10090	940
10096	948
10110	1712
10108	1056
10099	1868
10061	989
10058	978
10086	1589
10095	1375
10060	1362
10133	902
10126	1575
10097	2302
10083	941
10114	2106
10056	2084
10115	988
10128	2304
10120	1535
10113	1917
10122	2104
10130	2208
10093	1710
10111	2165
10127	956
10112	924
10088	2102
10057	1112
10085	2083
10107	1109
10109	2041
10053	1918
10105	953
10101	1336
10089	970
